City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Saint-Philippe,-21.3585,55.7679,295.9,78,59,8.73,RE,1621471452
Kutum,14.2,24.6667,296.74,38,0,1.9,SD,1621471452
Kirakira,-10.4544,161.9205,300.22,86,100,3.36,SB,1621471153
Port Hedland,-20.3167,118.5667,293.18,56,0,2.57,AU,1621471176
Pisco,-13.7,-76.2167,292.6,82,0,5.14,PE,1621471134
Rikitea,-23.1203,-134.9692,295.9,63,78,8.22,PF,1621471108
Kosh-Agach,50.0,88.6667,278.65,84,100,2.16,RU,1621471454
Albany,42.6001,-73.9662,297.47,56,100,1.63,US,1621471108
Nikolskoye,59.7035,30.7861,286.92,92,100,2.78,RU,1621471128
Isiro,2.7739,27.616,292.41,99,99,1.06,CD,1621471364
São Filipe,14.8961,-24.4956,296.84,74,84,2.76,CV,1621471189
Oodweyne,9.4092,45.064,296.61,62,88,6.52,SO,1621471455
Cherskiy,68.75,161.3,280.44,54,98,3.15,RU,1621471129
Kaitangata,-46.2817,169.8464,289.22,65,68,1.76,NZ,1621471155
Presidencia Roque Sáenz Peña,-26.7852,-60.4388,293.66,69,84,3.37,AR,1621471135
Batetskiy,58.6461,30.3027,283.09,97,78,1.62,RU,1621471456
Atuona,-9.8,-139.0333,299.95,77,21,7.62,PF,1621471114
Sompeta,18.9333,84.6,302.71,79,72,5.5,IN,1621471457
Pevek,69.7008,170.3133,274.04,87,65,3.05,RU,1621471156
Busselton,-33.65,115.3333,289.11,71,6,2.12,AU,1621471119
East London,-33.0153,27.9116,297.4,32,93,5.59,ZA,1621471098
Norman Wells,65.282,-126.8329,285.17,37,75,3.6,CA,1621471242
São João da Barra,-21.6403,-41.0511,293.45,82,31,1.57,BR,1621471111
Puerto Ayora,-0.7393,-90.3518,296.79,89,0,2.68,EC,1621471120
Emba,48.8264,58.1442,289.44,79,100,5.69,KZ,1621471458
Bonavista,48.6499,-53.1147,282.15,86,100,4.92,CA,1621471130
Bredasdorp,-34.5322,20.0403,288.31,91,98,2.99,ZA,1621471110
Severo-Kuril'sk,50.6789,156.125,279.52,82,52,1.6,RU,1621471117
Cabo San Lucas,22.8909,-109.9124,305.1,61,1,1.54,MX,1621471151
Punta Arenas,-53.15,-70.9167,280.21,80,75,4.02,CL,1621471109
Thompson,55.7435,-97.8558,275.24,75,75,6.69,CA,1621471132
Port Elizabeth,-33.918,25.5701,289.31,94,0,2.57,ZA,1621471234
Villa Rica,33.7321,-84.9191,297.97,69,90,3.72,US,1621471460
Batagay,67.6333,134.6333,276.18,78,100,2.35,RU,1621471172
Grimma,51.2333,12.7167,282.4,95,100,3.33,DE,1621471461
Luwuk,-0.9516,122.7875,301.95,74,93,3.11,ID,1621471461
Kapaa,22.0752,-159.319,300.14,73,75,1.79,US,1621471146
Qeshm,26.9581,56.2719,302.15,69,4,2.06,IR,1621471352
Qaanaaq,77.484,-69.3632,272.39,82,16,3.61,GL,1621471149
Butaritari,3.0707,172.7902,301.4,76,51,5.3,KI,1621471113
Upernavik,72.7868,-56.1549,270.44,79,2,4.0,GL,1621471171
Jijiga,9.35,42.8,290.04,84,12,3.38,ET,1621471463
Vaini,-21.2,-175.2,300.24,78,75,4.63,TO,1621471114
Jizan,17.3333,42.6667,303.67,64,10,1.41,SA,1621471463
Gemena,3.25,19.7667,294.56,95,25,0.5,CD,1621471464
Khatanga,71.9667,102.5,269.43,92,88,1.36,RU,1621471160
Bud,39.447,-86.1758,297.83,89,100,2.72,US,1621471330
North Kessock,57.5013,-4.2443,282.23,85,90,0.45,GB,1621471465
Walvis Bay,-22.9575,14.5053,287.64,80,0,1.83,NA,1621471305
Kiryat Gat,31.61,34.7642,293.71,100,0,0.45,IL,1621471323
Ushuaia,-54.8,-68.3,278.96,93,75,2.06,AR,1621470955
Yellowknife,62.456,-114.3525,278.44,33,20,1.34,CA,1621471083
Portland,45.5234,-122.6762,289.02,57,75,0.89,US,1621470835
Naze,28.3667,129.4833,298.66,83,24,6.4,JP,1621471248
Barrow,71.2906,-156.7887,272.16,86,90,5.14,US,1621471134
Zaysan,47.4667,84.8667,284.27,81,100,8.12,KZ,1621471466
New Norfolk,-42.7826,147.0587,286.87,58,28,4.89,AU,1621471143
Jamestown,42.097,-79.2353,298.77,40,1,3.6,US,1621471110
Faanui,-16.4833,-151.75,300.76,76,100,8.4,PF,1621471159
Kavaratti,10.5669,72.642,301.84,77,100,6.85,IN,1621471278
Yaan,7.3833,8.5667,299.41,75,65,5.2,NG,1621471467
Cape Town,-33.9258,18.4232,289.2,94,75,1.34,ZA,1621471049
Tabas,33.5959,56.9244,300.71,18,0,1.72,IR,1621471249
Peniche,39.3558,-9.3811,290.16,78,26,7.43,PT,1621471403
Hobart,-42.8794,147.3294,287.18,54,20,2.68,AU,1621471001
Adrar,20.5022,-10.0711,305.48,17,96,1.33,MR,1621471373
Chui,-33.6971,-53.4616,282.72,84,100,1.69,UY,1621471154
Lagoa,39.05,-27.9833,288.32,86,100,6.88,PT,1621471177
Santa Isabel Rio Negro,-0.4139,-65.0192,295.7,98,100,0.73,BR,1621471190
Vao,-22.6667,167.4833,296.0,77,18,7.66,NC,1621471151
Port Alfred,-33.5906,26.891,296.23,39,82,5.02,ZA,1621471110
Körmend,47.011,16.606,283.71,93,90,7.2,HU,1621471471
Mataura,-46.1927,168.8643,287.86,69,64,1.33,NZ,1621471113
Castelo do Piauí,-5.3222,-41.5525,299.4,63,100,1.27,BR,1621471196
Nizhniy Kislyay,50.8497,40.1719,285.17,94,100,5.68,RU,1621471471
Hermanus,-34.4187,19.2345,288.6,85,79,7.12,ZA,1621471109
Iqaluit,63.7506,-68.5145,269.0,58,75,1.79,CA,1621471146
Kumul,42.8,93.45,296.84,14,57,4.03,CN,1621471313
Daru,-9.0763,143.2092,300.4,87,87,8.04,PG,1621471472
Bluff,-46.6,168.3333,288.04,76,97,3.3,NZ,1621471150
Saldanha,-33.0117,17.9442,287.18,95,100,9.27,ZA,1621471181
Leningradskiy,69.3833,178.4167,274.59,82,91,3.1,RU,1621471180
Paramirim,-13.4425,-42.2389,297.18,45,72,0.95,BR,1621471316
San Patricio,28.017,-97.5169,296.55,93,100,2.37,US,1621471114
Aljezur,37.3191,-8.8033,288.84,63,93,4.0,PT,1621471268
Hithadhoo,-0.6,73.0833,302.16,70,20,4.34,MV,1621471136
Meulaboh,4.1363,96.1285,298.72,88,100,1.47,ID,1621471412
Killin,33.6123,-91.7412,298.2,69,90,3.09,US,1621471475
Lucapa,-8.4192,20.7447,291.66,64,70,1.25,AO,1621471475
Srednekolymsk,67.45,153.6833,279.68,65,94,4.53,RU,1621471245
Avera,33.194,-82.5271,297.96,68,100,4.32,US,1621471299
Rocha,-34.4833,-54.3333,280.47,89,55,0.78,UY,1621471284
Porto-Novo,6.4965,2.6036,301.05,82,36,4.96,BJ,1621471269
Saskylakh,71.9167,114.0833,270.94,92,99,4.3,RU,1621471117
San Quintín,30.4833,-115.95,290.93,75,14,8.45,MX,1621471194
Chokurdakh,70.6333,147.9167,273.1,100,100,3.3,RU,1621471182
Kaeo,-35.1,173.7833,292.22,64,99,0.69,NZ,1621471477
St. George's,12.0564,-61.7485,299.97,78,20,7.72,GD,1621471477
Nanortalik,60.1432,-45.2371,275.55,78,4,3.75,GL,1621471231
Podgorica,42.4411,19.2636,287.32,100,90,3.09,ME,1621471478
Taltal,-25.4,-70.4833,289.57,78,100,1.58,CL,1621471479
Hammerfest,70.6634,23.6821,276.4,100,90,5.14,NO,1621471479
Qaqortoq,60.7167,-46.0333,279.43,71,44,3.16,GL,1621471168
Chabahar,25.2919,60.643,303.15,66,0,1.35,IR,1621471480
Lagos,6.5833,3.75,299.39,90,11,3.33,NG,1621471221
Santa Flavia,38.085,13.5351,292.59,86,100,1.79,IT,1621471480
Carora,10.1755,-70.0827,299.94,64,43,6.12,VE,1621471481
Carnarvon,-24.8667,113.6333,291.19,82,0,3.6,AU,1621471146
Chute-aux-Outardes,49.1168,-68.399,283.14,77,90,1.74,CA,1621471388
Santa Cruz de la Sierra,-17.8,-63.1667,298.78,56,40,5.91,BO,1621471481
Omsukchan,62.5333,155.8,272.1,93,100,2.73,RU,1621471395
Caravelas,-17.7125,-39.2481,295.52,84,1,2.18,BR,1621471027
Broome,42.2506,-75.833,296.47,85,100,1.48,US,1621471482
Karatau,43.1667,70.4667,290.28,58,0,2.26,KZ,1621471482
Canavieiras,-15.675,-38.9472,294.92,80,5,1.48,BR,1621471483
Arman',59.7,150.1667,274.62,84,86,2.31,RU,1621471483
Kanniyākumāri,8.0833,77.5667,299.75,83,100,7.2,IN,1621471484
Sunnyside,46.3237,-120.0087,292.05,33,1,6.17,US,1621471484
Fuzhou,26.0614,119.3061,301.09,95,100,1.1,CN,1621471485
Jumla,29.2747,82.1838,285.71,95,100,1.62,NP,1621471486
Yar-Sale,66.8333,70.8333,275.34,78,100,8.2,RU,1621471290
Dunedin,-45.8742,170.5036,288.43,55,35,2.19,NZ,1621471139
Westport,41.1415,-73.3579,298.74,61,1,0.89,US,1621471250
Iralaya,15.0,-83.2333,302.2,78,51,5.33,HN,1621471146
Santa Cruz del Sur,20.7147,-77.9956,297.73,84,100,6.07,CU,1621471487
Souillac,-20.5167,57.5167,295.02,75,58,9.9,MU,1621471140
Hilo,19.7297,-155.09,300.0,67,20,4.12,US,1621470978
Sabang,5.8933,95.3214,302.16,74,100,7.12,ID,1621471412
San Fernando del Valle de Catamarca,-28.4696,-65.7852,293.98,75,71,3.35,AR,1621471488
Tuktoyaktuk,69.4541,-133.0374,276.15,75,20,7.72,CA,1621471137
Senj,44.9894,14.9058,283.15,81,20,1.03,HR,1621471488
Mbini,1.574,9.6134,299.2,86,99,2.58,GQ,1621471489
Wukari,7.85,9.7833,300.9,66,77,3.24,NG,1621471489
Port Hardy,50.6996,-127.4199,284.25,66,75,7.2,CA,1621471011
Port Lincoln,-34.7333,135.8667,291.75,47,100,2.07,AU,1621471136
Saint George,37.1041,-113.5841,307.48,8,1,1.34,US,1621471144
Ancud,-41.8697,-73.8203,284.89,81,99,5.84,CL,1621471125
Fort Nelson,58.8053,-122.7002,288.92,23,40,3.6,CA,1621471273
Katsuura,35.1333,140.3,294.92,85,100,3.61,JP,1621471168
Haines Junction,60.7522,-137.5108,287.12,33,15,6.69,CA,1621471187
Wamba,8.9333,8.6,298.41,67,11,0.82,NG,1621471491
Dali,25.7,100.1833,292.78,74,89,2.54,CN,1621471491
Krasnosel'kup,65.7,82.4667,268.7,67,32,4.34,RU,1621471302
Kavieng,-2.5744,150.7967,303.0,67,16,3.26,PG,1621471196
Kruisfontein,-34.0033,24.7314,290.16,46,59,3.84,ZA,1621471367
Simojovel,17.1391,-92.7103,297.67,75,5,1.32,MX,1621471492
Lebu,-37.6167,-73.65,284.56,86,100,5.11,CL,1621471123
Castro,-24.7911,-50.0119,284.43,55,0,0.99,BR,1621471015
Mumford,5.2618,-0.759,299.96,86,98,3.92,GH,1621471493
Xinzhou,38.4092,112.7333,292.48,50,38,0.67,CN,1621471494
Ponta do Sol,32.6667,-17.1,296.5,59,3,2.93,PT,1621471126
Arlit,18.7369,7.3853,305.48,11,0,4.64,NE,1621471307
Fairbanks,64.8378,-147.7164,291.34,36,1,3.6,US,1621471018
St Austell,50.3383,-4.7658,284.31,92,100,4.66,GB,1621471495
Mālpura,26.2833,75.3833,294.52,85,99,5.86,IN,1621471496
Pangody,65.85,74.4859,274.12,51,100,6.94,RU,1621471496
Mabaruma,8.2,-59.7833,296.83,92,30,1.94,GY,1621471152
Lipari,38.4674,14.954,292.9,82,81,7.6,IT,1621471497
Skeldon,5.8833,-57.1333,297.49,94,46,3.1,GY,1621471497
Puerto Escondido,15.85,-97.0667,302.15,79,40,3.09,MX,1621471345
Te Anau,-45.4167,167.7167,285.73,75,57,2.22,NZ,1621471287
Mar del Plata,-38.0023,-57.5575,285.44,69,90,0.45,AR,1621471111
Ribeira Grande,38.5167,-28.7,289.37,92,100,8.01,PT,1621471155
Sibolga,1.7427,98.7792,299.31,74,100,0.76,ID,1621471327
Tabasalu,59.4303,24.5331,283.15,90,90,6.95,EE,1621471498
Shaunavon,49.6501,-108.4181,283.15,37,100,5.66,CA,1621471499
Varhaug,58.6147,5.6457,282.15,87,75,5.14,NO,1621471499
Pangnirtung,66.1451,-65.7125,260.14,90,32,2.37,CA,1621471186
Airai,-8.9266,125.4092,294.72,49,73,1.7,TL,1621471108
Dakar,14.6937,-17.4441,296.64,94,99,2.06,SN,1621471500
Goderich,43.7501,-81.7165,298.33,36,100,2.57,CA,1621471131
Sovetskiy,61.3614,63.5842,287.42,66,100,2.3,RU,1621471501
Dalvik,65.9702,-18.5286,274.11,79,11,1.1,IS,1621471503
Grand Gaube,-20.0064,57.6608,295.03,78,15,1.34,MU,1621471257
Staryy Nadym,65.6118,72.6842,277.08,52,100,7.83,RU,1621471503
